kjønn,utdanning,erfaring,arbeidssted,arbeidssituasjon,fag,lønn,bonus?
kvinne,5,5,Oslo,"in-house, privat sektor",app,930318,Ja
mann,3,5,Oslo,"in-house, offentlig/kommunal sektor",app,690000,Nei
mann,3,5,Oslo,"in-house, privat sektor",app,800000,Nei
kvinne,6,4,Oslo,"in-house, privat sektor",app,758000,Nei
mann,3,4,Oslo,"in-house, privat sektor",app,800000,Nei
mann,3,4,Oslo,"in-house, privat sektor",app,835000,Ja
mann,4,4,Oslo,"in-house, privat sektor",app,875000,Nei
mann,3,4,Oslo,konsulent,app,1750000,Nei
kvinne,3,3,Oslo,"in-house, privat sektor",app,735000,Nei
kvinne,3,3,Oslo,"in-house, privat sektor",app,770000,Nei
mann,3,3,Oslo,"in-house, privat sektor",app,690000,Nei
mann,3,3,Oslo,konsulent,app,700000,Nei
mann,3,3,Oslo,"in-house, offentlig/kommunal sektor",app,700000,Nei
mann,5,3,Oslo,konsulent,app,850000,Nei
kvinne,3,2,Oslo,"in-house, offentlig/kommunal sektor",app,590000,Nei
kvinne,4,2,Oslo,"in-house, offentlig/kommunal sektor",app,625000,Nei
mann,0,2,Oslo,konsulent,app,510000,Nei
mann,3,2,Oslo,"in-house, offentlig/kommunal sektor",app,680000,Nei
kvinne,3,1,Oslo,"in-house, privat sektor",app,600000,Nei
mann,5,1,Oslo,konsulent,app,630000,Nei
mann,5,1,Oslo,konsulent,app,780000,Nei
kvinne,5,0,Oslo,konsulent,app,630000,Nei
mann,5,0,Oslo,konsulent,app,550000,Nei
mann,3,0,Oslo,"in-house, offentlig/kommunal sektor",app,630000,Nei
mann,9,0,Oslo,"in-house, privat sektor",app,650000,Nei
mann,1,20,Rogaland,konsulent,app,1050000,Ja
mann,3,7,Rogaland,konsulent,app,780000,Ja
mann,3,3,Rogaland,"in-house, privat sektor",app,750000,Nei
mann,3,3,Troms og Finnmark,"in-house, privat sektor",app,735000,Nei
mann,18,18,Trøndelag,"in-house, privat sektor",app,1150000,Ja
mann,3,14,Trøndelag,"in-house, privat sektor",app,770000,Nei
mann,3,13,Trøndelag,"in-house, privat sektor",app,903000,Nei
mann,8,8,Trøndelag,"in-house, privat sektor",app,800000,Nei
kvinne,5,5,Trøndelag,"in-house, offentlig/kommunal sektor",app,765000,Nei
mann,2,4,Trøndelag,konsulent,app,680000,Nei
kvinne,3,3,Trøndelag,"in-house, privat sektor",app,726000,Nei
mann,5,1,utlandet,"in-house, offentlig/kommunal sektor",app,774201,Ja
kvinne,2,5,Vestfold og Telemark,konsulent,app,680000,Ja
mann,3,22,Vestland,"in-house, privat sektor",app,887000,Nei
mann,3,20,Vestland,"in-house, privat sektor",app,720000,Ja
mann,5,9,Vestland,konsulent,app,890000,Nei
mann,5,6,Vestland,konsulent,app,860000,Nei
mann,5,0,Vestland,konsulent,app,550000,Ja
mann,5,0,Vestland,konsulent,app,625000,Ja
mann,3,14,Viken,konsulent,app,880000,Nei
mann,3,11,Viken,konsulent,app,1100000,Nei
annet / ønsker ikke oppgi,3,3,Viken,"in-house, privat sektor",app,556000,Nei
mann,5,20,Agder,"in-house, privat sektor",arkitektur,1200000,Nei
annet / ønsker ikke oppgi,7,30,Innlandet,"in-house, offentlig/kommunal sektor",arkitektur,950000,Nei
mann,3,28,Innlandet,"in-house, privat sektor",arkitektur,1100000,Nei
mann,14,25,Innlandet,konsulent,arkitektur,1000000,Nei
mann,4,21,Innlandet,"in-house, offentlig/kommunal sektor",arkitektur,1000000,Nei
mann,3,16,Innlandet,"in-house, offentlig/kommunal sektor",arkitektur,950000,Nei
mann,3,34,Møre og Romsdal,"in-house, privat sektor",arkitektur,1200000,Nei
mann,3,25,Møre og Romsdal,konsulent,arkitektur,775000,Ja
mann,3,16,Møre og Romsdal,konsulent,arkitektur,900000,Nei
mann,3,14,Møre og Romsdal,"in-house, privat sektor",arkitektur,1100000,Nei
mann,5,14,Nordland,"in-house, privat sektor",arkitektur,1100000,Ja
mann,5,44,Oslo,"in-house, privat sektor",arkitektur,980000,Nei
mann,5,32,Oslo,konsulent,arkitektur,1300000,Nei
mann,5,31,Oslo,konsulent,arkitektur,1250000,Nei
mann,3,30,Oslo,konsulent,arkitektur,1100000,Nei
mann,5,30,Oslo,"in-house, privat sektor",arkitektur,1265000,Nei
mann,3,29,Oslo,"in-house, privat sektor",arkitektur,1000000,Nei
mann,6,27,Oslo,konsulent,arkitektur,1000000,Ja
mann,3,26,Oslo,"in-house, privat sektor",arkitektur,1100000,Nei
mann,3,26,Oslo,konsulent,arkitektur,1400000,Nei
mann,4,25,Oslo,"in-house, privat sektor",arkitektur,1005000,Nei
mann,10,25,Oslo,konsulent,arkitektur,1360000,Ja
mann,5,25,Oslo,konsulent,arkitektur,1400000,Ja
mann,5,24,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1138300,Nei
mann,15,22,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1230000,Nei
mann,5,21,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1290000,Ja
kvinne,5,20,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1030000,Ja
mann,3,20,Oslo,"in-house, privat sektor",arkitektur,900000,Nei
mann,4,20,Oslo,konsulent,arkitektur,1000000,Ja
mann,2,20,Oslo,"in-house, privat sektor",arkitektur,1050000,Nei
mann,0,20,Oslo,konsulent,arkitektur,1150000,Ja
mann,5,20,Oslo,"in-house, privat sektor",arkitektur,1200000,Nei
mann,3,20,Oslo,konsulent,arkitektur,1450000,Ja
mann,3,20,Oslo,konsulent,arkitektur,1627000,Nei
mann,17,19,Oslo,"in-house, privat sektor",arkitektur,1350000,Nei
mann,5,18,Oslo,konsulent,arkitektur,1250000,Ja
mann,5,18,Oslo,"in-house, privat sektor",arkitektur,1300000,Ja
mann,9,18,Oslo,konsulent,arkitektur,1300000,Ja
mann,5,17,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1000000,Nei
mann,3,17,Oslo,konsulent,arkitektur,1000000,Nei
kvinne,15,16,Oslo,"in-house, privat sektor",arkitektur,1240000,Ja
kvinne,0,15,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,750000,Nei
mann,3,15,Oslo,konsulent,arkitektur,1100000,Ja
mann,0,15,Oslo,konsulent,arkitektur,1250000,Ja
mann,0,14,Oslo,konsulent,arkitektur,1300000,Nei
mann,3,13,Oslo,konsulent,arkitektur,1250000,Ja
mann,3,13,Oslo,"in-house, privat sektor",arkitektur,1300000,Nei
mann,5,12,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1050000,Nei
mann,5,12,Oslo,konsulent,arkitektur,1271000,Nei
mann,0,12,Oslo,konsulent,arkitektur,1900000,Ja
kvinne,0,10,Oslo,konsulent,arkitektur,940000,Ja
kvinne,10,10,Oslo,konsulent,arkitektur,1200000,Ja
mann,6,10,Oslo,konsulent,arkitektur,1467000,Nei
mann,0,10,Oslo,"in-house, privat sektor",arkitektur,1750000,Ja
mann,3,9,Oslo,konsulent,arkitektur,1350000,Ja
mann,3,8,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,955000,Nei
annet / ønsker ikke oppgi,3,7,Oslo,"in-house, privat sektor",arkitektur,1350000,Nei
kvinne,5,6,Oslo,konsulent,arkitektur,1050000,Ja
mann,5,6,Oslo,"in-house, privat sektor",arkitektur,1500000,Nei
kvinne,3,5,Oslo,konsulent,arkitektur,1100000,Ja
mann,5,5,Oslo,konsulent,arkitektur,880000,Ja
mann,5,5,Oslo,konsulent,arkitektur,920501,Nei
mann,5,5,Oslo,"in-house, privat sektor",arkitektur,970000,Ja
mann,5,4,Oslo,konsulent,arkitektur,1000000,Ja
mann,5,3,Oslo,"in-house, privat sektor",arkitektur,780000,Ja
mann,5,2,Oslo,konsulent,arkitektur,650000,Nei
mann,3,1,Oslo,konsulent,arkitektur,530000,Nei
mann,5,1,Oslo,"in-house, privat sektor",arkitektur,750000,Nei
mann,15,30,Rogaland,konsulent,arkitektur,1600000,Ja
mann,5,26,Rogaland,konsulent,arkitektur,990000,Nei
kvinne,4,24,Rogaland,"in-house, privat sektor",arkitektur,1090000,Nei
mann,3,17,Rogaland,konsulent,arkitektur,1016000,Nei
mann,5,16,Rogaland,"in-house, offentlig/kommunal sektor",arkitektur,1000000,Nei
mann,0,14,Rogaland,konsulent,arkitektur,980000,Nei
mann,2,12,Rogaland,konsulent,arkitektur,1025000,Ja
mann,8,10,Rogaland,"in-house, privat sektor",arkitektur,2000000,Nei
mann,3,7,Rogaland,"in-house, privat sektor",arkitektur,700000,Nei
mann,4,5,Rogaland,konsulent,arkitektur,950000,Ja
mann,0,28,Trøndelag,"in-house, privat sektor",arkitektur,1700000,Ja
mann,16,25,Trøndelag,"in-house, offentlig/kommunal sektor",arkitektur,1182000,Nei
mann,0,25,Trøndelag,"in-house, privat sektor",arkitektur,1200000,Nei
mann,5,17,Trøndelag,konsulent,arkitektur,1350000,Nei
mann,5,15,Trøndelag,"in-house, privat sektor",arkitektur,1000010,Nei
mann,3,12,Trøndelag,"in-house, privat sektor",arkitektur,950000,Nei
kvinne,6,0,Trøndelag,konsulent,arkitektur,680000,Nei
mann,0,30,Vestfold og Telemark,"in-house, privat sektor",arkitektur,1350000,Nei
mann,0,18,Vestfold og Telemark,konsulent,arkitektur,1300000,Nei
mann,3,15,Vestfold og Telemark,"in-house, privat sektor",arkitektur,1100000,Nei
mann,3,12,Vestfold og Telemark,"in-house, privat sektor",arkitektur,862000,Ja
mann,5,8,Vestfold og Telemark,konsulent,arkitektur,875000,Ja
mann,3,6,Vestfold og Telemark,"in-house, privat sektor",arkitektur,1000000,Nei
mann,3,3,Vestfold og Telemark,"in-house, privat sektor",arkitektur,845000,Nei
mann,4,21,Vestland,"in-house, privat sektor",arkitektur,1000000,Nei
mann,2,20,Vestland,"in-house, privat sektor",arkitektur,845000,Nei
mann,3,20,Vestland,"in-house, privat sektor",arkitektur,968000,Nei
mann,4,20,Vestland,"in-house, offentlig/kommunal sektor",arkitektur,1210000,Nei
mann,5,20,Vestland,konsulent,arkitektur,1250000,Ja
mann,5,18,Vestland,"in-house, privat sektor",arkitektur,1100000,Ja
mann,17,16,Vestland,"in-house, privat sektor",arkitektur,1250000,Nei
mann,5,14,Vestland,"in-house, privat sektor",arkitektur,1040000,Nei
mann,5,13,Vestland,"in-house, privat sektor",arkitektur,1071293,Nei
mann,2,5,Vestland,"in-house, privat sektor",arkitektur,1300000,Nei
mann,3,25,Viken,frilans / selvstendig næringsdrivende,arkitektur,2450000,Nei
mann,2,23,Viken,"in-house, offentlig/kommunal sektor",arkitektur,950000,Nei
mann,5,23,Viken,"in-house, privat sektor",arkitektur,1250000,Ja
mann,5,17,Viken,frilans / selvstendig næringsdrivende,arkitektur,2500000,Nei
mann,6,15,Viken,konsulent,arkitektur,1100000,Ja
mann,3,10,Viken,konsulent,arkitektur,1100000,Ja
mann,2,7,Viken,"in-house, privat sektor",arkitektur,950000,Nei
mann,5,7,Viken,"in-house, privat sektor",arkitektur,1000000,Nei
kvinne,4,4,Viken,konsulent,arkitektur,730000,Ja
mann,3,3,Viken,konsulent,arkitektur,540000,Ja
mann,3,3,Viken,"in-house, privat sektor",arkitektur,750000,Nei
mann,4,5,Innlandet,"in-house, privat sektor",automatisering,800000,Ja
mann,0,3,Innlandet,"in-house, offentlig/kommunal sektor",automatisering,664000,Nei
mann,5,16,Møre og Romsdal,"in-house, privat sektor",automatisering,850000,Nei
mann,14,28,Oslo,"in-house, privat sektor",automatisering,1010000,Ja
mann,4,24,Oslo,konsulent,automatisering,800000,Ja
kvinne,17,20,Oslo,konsulent,automatisering,1800000,Ja
mann,0,16,Oslo,"in-house, privat sektor",automatisering,1100000,Ja
mann,3,12,Oslo,konsulent,automatisering,1200000,Ja
mann,3,11,Oslo,"in-house, privat sektor",automatisering,820000,Nei
kvinne,4,10,Oslo,"in-house, offentlig/kommunal sektor",automatisering,874000,Nei
mann,6,9,Oslo,konsulent,automatisering,1800000,Ja
kvinne,3,8,Oslo,"in-house, privat sektor",automatisering,900000,Nei
mann,4,8,Oslo,"in-house, privat sektor",automatisering,950000,Nei
mann,5,8,Oslo,konsulent,automatisering,1060000,Nei
kvinne,5,5,Oslo,"in-house, privat sektor",automatisering,810000,Nei
mann,3,4,Oslo,konsulent,automatisering,850000,Nei
mann,5,4,Oslo,konsulent,automatisering,850000,Ja
kvinne,1,2,Oslo,"in-house, privat sektor",automatisering,650000,Ja
mann,3,2,Oslo,konsulent,automatisering,700000,Ja
mann,5,2,Oslo,konsulent,automatisering,750000,Ja
mann,3,30,Rogaland,konsulent,automatisering,1350000,Ja
mann,2,22,Rogaland,"in-house, privat sektor",automatisering,1000000,Nei
mann,3,15,Rogaland,"in-house, privat sektor",automatisering,820000,Ja
mann,1,10,Rogaland,"in-house, privat sektor",automatisering,573000,Ja
kvinne,1,0,Rogaland,"in-house, privat sektor",automatisering,620000,Ja
mann,13,19,Trøndelag,konsulent,automatisering,1030000,Ja
mann,6,3,Trøndelag,"in-house, offentlig/kommunal sektor",automatisering,614000,Nei
mann,5,18,utlandet,"in-house, privat sektor",automatisering,1600000,Ja
mann,3,4,Vestland,"in-house, privat sektor",automatisering,740000,Ja
mann,3,0,Vestland,"in-house, privat sektor",automatisering,350000,Nei
mann,3,4,Viken,"in-house, privat sektor",automatisering,800000,Ja
kvinne,3,3,Viken,"in-house, privat sektor",automatisering,568000,Nei
mann,6,29,Agder,konsulent,backend,1040000,Nei
mann,6,26,Agder,"in-house, privat sektor",backend,1136000,Nei
mann,4,21,Agder,"in-house, offentlig/kommunal sektor",backend,950000,Nei
mann,5,21,Agder,"in-house, privat sektor",backend,1200000,Nei
mann,2,19,Agder,konsulent,backend,700000,Nei
mann,5,19,Agder,"in-house, privat sektor",backend,1140000,Nei
mann,4,13,Agder,"in-house, privat sektor",backend,760000,Nei
mann,0,12,Agder,"in-house, privat sektor",backend,680000,Nei
mann,0,10,Agder,"in-house, offentlig/kommunal sektor",backend,890000,Nei
mann,5,10,Agder,"in-house, privat sektor",backend,1006000,Ja
mann,3,9,Agder,"in-house, offentlig/kommunal sektor",backend,870000,Nei
mann,3,7,Agder,"in-house, offentlig/kommunal sektor",backend,670000,Ja
mann,5,7,Agder,"in-house, privat sektor",backend,1000000,Nei
mann,3,4,Agder,konsulent,backend,630000,Nei
mann,3,4,Agder,konsulent,backend,730000,Nei
kvinne,3,3,Agder,konsulent,backend,790000,Ja
mann,5,3,Agder,"in-house, offentlig/kommunal sektor",backend,725900,Nei
mann,0,3,Agder,"in-house, privat sektor",backend,750000,Nei
mann,3,3,Agder,konsulent,backend,766000,Nei
mann,3,2,Agder,"in-house, privat sektor",backend,585000,Nei
mann,3,2,Agder,"in-house, privat sektor",backend,600000,Nei
mann,3,1,Agder,konsulent,backend,605000,Ja
mann,6,1,Agder,"in-house, privat sektor",backend,625000,Nei
mann,6,1,Agder,"in-house, privat sektor",backend,670000,Nei
mann,3,1,Agder,"in-house, privat sektor",backend,680000,Nei
mann,3,28,Innlandet,"in-house, privat sektor",backend,960000,Nei
mann,6,25,Innlandet,"in-house, privat sektor",backend,925000,Nei
mann,5,23,Innlandet,"in-house, privat sektor",backend,843000,Ja
mann,6,17,Innlandet,"in-house, privat sektor",backend,865000,Nei
mann,3,15,Innlandet,konsulent,backend,1600000,Ja
mann,3,12,Innlandet,konsulent,backend,850000,Ja
mann,3,12,Innlandet,konsulent,backend,920000,Ja
mann,3,7,Innlandet,"in-house, privat sektor",backend,1100000,Nei
mann,3,6,Innlandet,"in-house, privat sektor",backend,730000,Nei
mann,4,5,Innlandet,konsulent,backend,900000,Ja
mann,3,4,Innlandet,konsulent,backend,700000,Ja
mann,3,2,Innlandet,"in-house, privat sektor",backend,590000,Nei
kvinne,3,1,Innlandet,"in-house, offentlig/kommunal sektor",backend,630000,Nei
mann,3,27,Møre og Romsdal,"in-house, privat sektor",backend,840000,Nei
mann,0,12,Møre og Romsdal,"in-house, privat sektor",backend,786290,Ja
mann,5,12,Møre og Romsdal,konsulent,backend,930000,Ja
mann,9,19,Nordland,"in-house, offentlig/kommunal sektor",backend,850000,Nei
mann,3,15,Nordland,"in-house, privat sektor",backend,900000,Ja
mann,0,4,Nordland,"in-house, privat sektor",backend,860000,Nei
mann,3,3,Nordland,"in-house, offentlig/kommunal sektor",backend,667500,Nei
mann,3,1,Nordland,"in-house, privat sektor",backend,540000,Nei
mann,3,1,Nordland,"in-house, offentlig/kommunal sektor",backend,650000,Nei
mann,17,39,Oslo,"in-house, privat sektor",backend,1100000,Nei
mann,2,30,Oslo,"in-house, privat sektor",backend,1100000,Nei
mann,3,30,Oslo,"in-house, privat sektor",backend,1300000,Nei
mann,3,29,Oslo,konsulent,backend,900000,Ja
mann,5,28,Oslo,"in-house, privat sektor",backend,917000,Nei
mann,4,28,Oslo,"in-house, privat sektor",backend,1200000,Nei
mann,15,27,Oslo,konsulent,backend,1200000,Ja
mann,5,27,Oslo,frilans / selvstendig næringsdrivende,backend,1300000,Nei
mann,2,26,Oslo,"in-house, offentlig/kommunal sektor",backend,980000,Nei
mann,5,26,Oslo,konsulent,backend,1630000,Nei
mann,3,25,Oslo,"in-house, privat sektor",backend,830000,Nei
mann,3,25,Oslo,konsulent,backend,1250000,Nei
mann,5,25,Oslo,konsulent,backend,1700000,Ja
mann,3,24,Oslo,"in-house, privat sektor",backend,1050000,Nei
mann,5,24,Oslo,"in-house, offentlig/kommunal sektor",backend,1050000,Nei
mann,4,24,Oslo,konsulent,backend,1700000,Nei
mann,2,23,Oslo,"in-house, privat sektor",backend,860000,Nei
mann,3,23,Oslo,"in-house, privat sektor",backend,970000,Nei
mann,3,23,Oslo,"in-house, privat sektor",backend,1300000,Ja
mann,3,23,Oslo,frilans / selvstendig næringsdrivende,backend,2000000,Nei
mann,5,22,Oslo,konsulent,backend,1150000,Nei
mann,3,21,Oslo,"in-house, offentlig/kommunal sektor",backend,1060000,Nei
mann,2,20,Oslo,"in-house, privat sektor",backend,820000,Nei
mann,4,20,Oslo,konsulent,backend,1000000,Ja
mann,5,20,Oslo,"in-house, privat sektor",backend,1600000,Ja
mann,7,19,Oslo,"in-house, offentlig/kommunal sektor",backend,905000,Nei
mann,5,19,Oslo,"in-house, offentlig/kommunal sektor",backend,1020000,Nei
mann,5,19,Oslo,konsulent,backend,1200000,Ja
mann,10,19,Oslo,konsulent,backend,1600000,Ja
mann,5,18,Oslo,"in-house, privat sektor",backend,1200000,Nei
mann,3,18,Oslo,konsulent,backend,1200000,Ja
mann,16,18,Oslo,"in-house, privat sektor",backend,1200000,Nei
mann,5,18,Oslo,"in-house, privat sektor",backend,1230000,Nei
mann,3,18,Oslo,"in-house, privat sektor",backend,1300000,Nei
kvinne,5,17,Oslo,konsulent,backend,990000,Ja
mann,3,17,Oslo,konsulent,backend,1190000,Nei
mann,0,17,Oslo,konsulent,backend,1200000,Ja
mann,6,17,Oslo,"in-house, privat sektor",backend,1260000,Nei
mann,4,17,Oslo,konsulent,backend,1300000,Ja
mann,5,17,Oslo,konsulent,backend,1350000,Nei
mann,3,17,Oslo,"in-house, privat sektor",backend,1400000,Nei
mann,5,17,Oslo,konsulent,backend,1400000,Nei
kvinne,3,16,Oslo,"in-house, privat sektor",backend,1000000,Nei
mann,0,16,Oslo,"in-house, privat sektor",backend,1000000,Nei
mann,18,16,Oslo,konsulent,backend,1450000,Nei
mann,12,15,Oslo,"in-house, offentlig/kommunal sektor",backend,1000108,Nei
mann,18,15,Oslo,frilans / selvstendig næringsdrivende,backend,1400000,Nei
kvinne,4,14,Oslo,konsulent,backend,960000,Nei
kvinne,3,14,Oslo,"in-house, privat sektor",backend,1080000,Nei
mann,4,14,Oslo,"in-house, privat sektor",backend,890000,Nei
mann,5,14,Oslo,"in-house, offentlig/kommunal sektor",backend,911939,Nei
mann,0,14,Oslo,"in-house, offentlig/kommunal sektor",backend,920000,Nei
mann,0,14,Oslo,"in-house, privat sektor",backend,950000,Nei
mann,3,14,Oslo,"in-house, privat sektor",backend,1035000,Nei
mann,3,14,Oslo,konsulent,backend,1100000,Ja
mann,5,14,Oslo,konsulent,backend,1290000,Ja
